s	Lv	Rv	Ld	Rd
7.75	7.40000009536743E-4	0.00123000001907349	-0.00125	-5.19999980926514E-4
8	9.49999988079071E-4	0.00147000002861023	-0.00120000004768372	-2.80000001192093E-4
8.25	0.00112000000476837	0.00174000000953674	-0.00103999996185303	-1.70000001788139E-4
8.5	0.00124000000953674	0.00195000004768372	-9.30000007152557E-4	-7.99999982118607E-5
8.75	0.00133000004291534	0.00217000007629395	-7.30000019073486E-4	-2.99999993294477E-5
9	0.00137999999523163	0.00228999996185303	-4.00000005960464E-4	-1.00000001490116E-4
9.25	0.00142999994754791	0.00232999992370605	-1.59999996423721E-4	-1.59999996423721E-4
9.5	0.00145000004768372	0.00235999989509583	1.59999996423721E-4	-3.19999992847443E-4
9.75	0.0015	0.00235999989509583	4.09999996423721E-4	-3.49999994039536E-4
10	0.0015900000333786	0.00232999992370605	6.70000016689301E-4	-4.00000005960464E-4
10.25	0.00162000000476837	0.00228999996185303	8.19999992847443E-4	-4.09999996423721E-4
10.5	0.00164999997615814	0.00225	9.70000028610229E-4	-3.89999985694885E-4
10.75	0.00160000002384186	0.00211999988555908	0.00121000003814697	-4.69999998807907E-4
11	0.00158000004291534	0.00198000001907349	0.00136000001430511	-5.60000002384186E-4
11.25	0.0015	0.00183000004291534	0.00148000001907349	-7.79999971389771E-4
11.5	0.00142999994754791	0.0016599999666214	0.0015	-8.79999995231628E-4
11.75	0.00133000004291534	0.0015	0.00149000000953674	-9.20000016689301E-4
12	0.00122000002861023	0.00138999998569489	0.00142999994754791	-7.79999971389771E-4
12.25	0.00113999998569489	0.00135000002384186	0.00137000000476837	-5.50000011920929E-4
12.5	0.0010900000333786	0.00146000003814697	0.00125	-3.40000003576279E-4
12.75	0.00112999999523163	0.00153999996185303	0.00103999996185303	-1.29999995231628E-4
13	0.00117999994754791	0.00179999995231628	7.79999971389771E-4	2.99999993294477E-5
13.25	0.00128999996185303	0.00195000004768372	5.29999971389771E-4	1.59999996423721E-4
13.5	0.00137000000476837	0.00211999988555908	3.49999994039536E-4	3.40000003576279E-4
13.75	0.00147000002861023	0.00221000003814697	2.8999999165535E-4	4.19999986886978E-4
14	0.00155999994277954	0.00228999996185303	3.30000013113022E-4	5.79999983310699E-4
